noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
17229	-18	-18	-19	28	1153
-32767	-18	-18	-19	28	10033
32767	1	-18	0	28	1719
-32767	1	-18	-19	28	8167
32767	-18	1	-19	28	4471
-32767	1	1	-19	47	5037
22852	1	-18	-19	47	7375
-21926	1	-37	-19	47	2888
-7038	-18	-18	-19	47	9109
4284	1	1	-19	9	1530
-32767	-18	-18	-19	28	10052
29457	1	-18	0	47	1115
-32767	20	-18	0	47	9411
32767	-18	1	-19	47	2925
-32767	1	1	0	47	6545
32767	20	-18	-19	28	6149
-32767	1	-18	-19	28	3868
8341	1	-18	0	9	8355
-8981	-18	-18	-19	28	2115
-22285	-18	-18	0	28	9675
17474	1	1	0	28	1153
-32767	-18	1	0	9	10109
32767	-18	1	-19	28	1719
-32767	1	-18	-19	47	8110
32767	1	-18	-19	65	4528
-32767	1	-18	-19	28	5037
22720	1	-18	-19	47	7394
-21832	20	-18	0	47	2831
-7151	1	-37	0	47	9185
4360	1	-18	-19	47	1587
-32767	-18	1	-19	47	10052
29910	1	-18	0	47	1097
-32767	1	1	0	47	9449
32767	1	-18	0	65	3095
-32767	1	-18	-19	28	6545
32767	-18	-18	0	9	6112
-32767	1	-18	0	28	3830
8322	-18	-18	0	28	8393
-8717	1	1	0	47	2096
-22625	-18	-18	-19	9	9656
17606	1	1	0	47	1134
-32767	-18	-18	0	28	10071
32767	1	1	-19	47	1700
-32767	-18	-18	-19	65	8110
32767	1	-18	-19	28	4603
-32767	1	1	-19	28	5093
22475	1	-37	-19	28	7469
-21643	-18	1	-19	65	2850
-7566	1	-18	-19	28	9128
4737	1	-18	-19	28	1511
-32767	1	-18	-19	47	10071
30099	1	1	-19	65	1097
-32767	1	-18	-19	65	9373
32767	-18	1	-19	28	3020
-32767	-18	-18	-19	65	6526
32767	-18	-18	-19	47	6130
-32767	-18	-18	-19	47	3811
7945	1	-18	0	28	8412
-8547	1	-18	0	47	2115
-22643	1	-18	0	28	9713
17833	1	1	-19	47	1172
-32767	1	-18	-19	47	10071
32767	1	1	-19	28	1738
-32767	-18	-18	-19	47	8110
32767	-18	1	0	28	4584
-32767	1	1	-19	28	5018
22569	1	1	-19	65	7394
-21662	1	1	-19	28	2869
-7378	1	1	0	47	9147
4454	1	-18	0	47	1549
-32767	-18	1	-19	47	10033
29853	1	-18	-19	47	1097
-32767	1	1	-19	47	9392
32767	1	1	-19	47	2944
-32767	-18	1	-19	28	6545
32767	-18	1	-19	47	6093
-32767	1	1	-19	28	3868
8398	1	1	-19	47	8393
-8793	1	1	-19	47	2096
-22474	1	-18	0	47	9694
17512	1	-18	0	47	1172
-32767	1	-18	-19	47	10071
32767	1	-18	-19	9	1662
-32767	1	1	-19	28	8110
32767	1	-18	-19	47	4641
-32767	1	-18	-19	28	5093
22758	-18	-18	-19	47	7375
-21851	1	-18	-19	28	2850
-7132	1	-18	-19	47	9128
4303	1	-18	-19	9	1568
-32767	1	-18	-19	28	10052
29551	1	1	0	-10	1059
-32767	1	-18	-19	28	9430
32767	1	1	-19	84	2944
-32767	1	-18	-19	28	6564
32767	1	1	0	47	6055
-32767	1	-18	0	47	3830
8454	1	1	0	28	8412
-8963	1	-18	0	47	2133
-22191	1	-18	-19	47	9694
17097	1	1	0	47	1153
-32767	-18	1	-19	9	10109
32767	1	1	-19	28	1756
-32767	1	-18	-19	47	8148
32767	1	-18	0	65	4415
-32767	1	-18	-19	28	5075
22928	1	1	0	28	7375
-22228	1	1	-19	65	2888
-6887	1	-18	-19	28	9109
4001	1	-18	-19	28	1568
-32767	1	-18	-19	65	10052
29740	1	1	-19	47	1115
-32767	1	-18	0	47	9430
32767	1	1	-19	47	2944
-32767	1	1	-19	65	6621
32767	-18	-18	-19	47	6149
-32767	1	1	0	28	3830
8624	-18	-18	0	47	8355
-9038	1	1	0	47	2115
-22247	1	-18	-19	28	9656
17361	1	-18	-19	65	1153
-32767	1	-18	-19	47	10090
32767	1	1	-19	47	1738
-32767	1	-18	-19	47	8185
32767	20	1	-19	65	4603
-32767	1	-18	-19	47	5056
22928	1	-18	-19	28	7375
-22172	1	1	-19	28	2906
-6962	1	1	-19	65	9147
4114	1	1	-19	9	1568
-32767	1	1	0	47	10033
29514	1	-18	-19	28	1078
-32767	1	-18	0	47	9486
32767	1	1	0	-10	2944
-32767	1	1	0	9	6583
32767	1	1	0	47	6093
-32767	1	-18	0	28	3849
8605	-18	-18	0	65	8412
-9151	1	1	-19	65	2133
-22040	1	-18	0	47	9694
17116	1	1	0	65	1153
-32767	1	1	0	9	10109
32767	1	-18	-19	47	1681
-32767	-18	1	-19	47	8129
32767	1	-18	-19	65	4490
-32767	1	-18	-19	47	5150
23135	1	1	0	47	7412
-22077	1	-18	-19	28	2850
-6887	1	1	-19	65	9128
4133	1	-18	0	65	1549
-32767	1	1	0	28	10052
29665	1	-18	0	65	1059
-32767	1	-18	0	28	9449
32767	1	-18	0	28	3038
-32767	-18	1	0	47	6639
32767	1	-18	-19	28	6074
-32767	1	-18	-19	65	3830
8756	-18	-18	18	28	8374
-9151	1	-18	0	65	2190
-22077	1	1	-19	47	9694
17078	1	1	-19	28	1134
-32767	1	-18	0	28	10090
32767	1	-18	0	47	1700
-32767	1	-18	0	47	8148
32767	1	-18	-19	28	4528
-32767	1	1	-19	28	5093
23022	1	-18	-19	47	7431
-22058	1	-18	0	47	2888
-7019	1	-18	-19	47	9128
4114	1	-18	-19	65	1549
-32767	1	1	0	47	10071
29589	1	-18	-19	65	1097
-32767	1	1	-19	28	9430
32767	1	1	-19	65	2888
-32767	1	-18	-19	47	6564
32767	1	-18	-19	28	6112
-32767	1	1	0	47	3849
8454	1	1	0	65	8393
-8906	-18	-18	-19	28	2133
-22266	-18	1	-19	47	9675
17229	1	-18	-19	65	1172
-32767	1	-18	-19	47	10052
32767	-18	-18	-19	28	1700
-32767	1	-18	-19	28	8204
32767	-18	1	-19	28	4547
-32767	1	-18	-19	28	5112
22947	-18	-18	-19	47	7318
-21983	1	1	-19	47	2850
-7019	1	1	0	47	9128
4039	1	-18	-19	65	1568
-32767	-18	-18	-19	65	10052
29608	1	-18	-19	47	1078
-32767	1	-18	-19	9	9449
32767	1	-18	-19	47	2982
-32767	1	-18	-19	65	6583
32767	-18	-18	-19	65	6055
-32767	1	-18	0	47	3849
8775	1	-18	-19	28	8393
-9170	1	-18	-19	47	2133
-22040	1	-18	-38	65	9656
17040	1	1	-19	47	1153
-32767	1	-18	-19	47	10109
32767	1	-18	-19	28	1700
-32767	1	1	-19	47	8185
32767	1	-18	0	28	4528
-32767	-18	1	-19	28	5150
23343	-18	-18	-19	28	7431
-22360	1	-18	-19	47	2925
-6528	1	-18	-19	47	9128
3775	1	-18	0	47	1568
-32767	1	-18	0	65	10052
29230	1	-18	-19	47	1078
-32767	1	1	0	28	9449
32767	1	1	-19	47	2869
-32767	-18	-18	-19	28	6696
32767	1	1	-19	47	6074
-32767	1	-18	-19	65	3868
9039	1	-18	-19	47	8317
-9566	1	-18	-19	47	2171
-21587	1	1	-19	47	9656
16531	1	-18	-19	65	1153
-32767	1	1	-19	28	10090
